u,v,name,highway,oneway,length,lanes,bridge,ref,junction,maxspeed,tunnel,access,id,cnt,n_id
62917024,477597199,成都南路,residential,0,154.185, , , , , , , ,78,54,0
62917024,479307593,成都南路,residential,0,154.733, , , , , , , ,79,114,1
62917024,477598679,长乐路,tertiary,0,237.125, , , , , , , ,80,159,2
62917024,109426242,长乐路,tertiary,0,408.76,1, , , , , , ,81,197,3
63338299,154072852,复兴西路,tertiary,0,116.47600000000001,2, , , , , , ,145,284,4
63338299,131184023,淮海中路,secondary,0,117.72800000000002,2, , , , , , ,146,487,5
63338299,554238927,淮海中路,secondary,0,272.963,2, , , , , , ,147,373,6
76482203,76482724,思南路,residential,1,574.836,1, , , , , , ,330,234,7
76482203,109425491,复兴中路,secondary,1,249.79800000000003,2, , , , , , ,331,680,8
76482724,87604258,思南路,residential,1,62.462,1, , , , , , ,332,110,9
76482724,601681407,建德路,residential,1,359.592, , , , , , , ,333,98,10
82515933,82515934,汾阳路,residential,1,65.567,1, , , , , , ,435,10,11
82515933,82516857,桃江路,residential,1,143.565, , , , , , , ,436,223,12
82515934,267671967,汾阳路,residential,1,217.19200000000004,1, , , , , , ,437,218,13
82516857,87781402,桃江路,residential,1,5.359, , , , , , , ,438,145,14
82516857,857586380,宝庆路,secondary,1,129.12, , , , , , , ,439,392,15
82517936,82516857,衡山路,secondary,1,105.21100000000001,2, , , , , , ,440,320,16
82517936,601675009,东平路,residential,1,214.755,1, , , , , , ,441,157,17
82518112,85014614,永嘉路,residential,0,17.473, , , , , , , ,442,164,18
82518112,82518464,永嘉路,residential,0,174.585, , , , , , , ,443,103,19
82518112,82526036,衡山路,secondary,1,442.757,2, , , , , , ,444,243,20
82518464,94632188,永嘉路,residential,0,147.933, , , , , , , ,445,91,21
82518464,601712324,安亭路,residential,0,301.433,1, , , , , , ,446,17,22
82518464,82518112,永嘉路,residential,0,174.585, , , , , , , ,447,137,23
82526036,94632188,乌鲁木齐南路,tertiary,1,252.978,1, , , , , , ,448,403,24
82526036,82517936,衡山路,secondary,1,222.894,2, , , , , , ,449,222,25
85014614,82518112,永嘉路,residential,0,17.473, , , , , , , ,525,98,26
85014614,804464903,衡山路,secondary,1,22.226,2, , , , , , ,526,581,27
87604258,486193835,建国中路,secondary,1,178.553, , , , , , , ,561,349,28
87604258,858404199,思南路,residential,1,218.344,1, , , , , , ,562,92,29
87723676,82526036,乌鲁木齐南路,tertiary,1,19.725,1, , , , , , ,563,377,30
87723676,85014614,衡山路,secondary,1,466.4,2, , , , , , ,564,573,31
87781402,94574925,衡山路,secondary,1,108.605,2, , , ,40, , ,582,758,32
87781402,603891560,桃江路,residential,1,243.199, , , , , , , ,583,96,33
94574920,87723676,乌鲁木齐南路,tertiary,1,181.06,1, , , , , , ,775,262,34
94574920,94574925,东平路,residential,1,150.82,1, , , , , , ,776,133,35
94574925,82517936,东平路,residential,1,11.206,1, , , , , , ,777,241,36
94574925,87723676,衡山路,secondary,1,204.905,2, , , ,40, , ,778,651,37
94632188,82518464,永嘉路,residential,0,147.933, , , , , , , ,779,134,38
94632188,601669704,永嘉路,residential,0,352.119, , , , , , , ,780,121,39
94632188,601712368,乌鲁木齐南路,tertiary,1,291.885,1, , , , , , ,781,359,40
105253431,994212305,兴国路,unclassified,1,208.219,2, , , , , , ,1022,140,41
105253431,1414884244,余庆路,residential,1,323.5499999999999, , , , , , , ,1023,89,42
105253431,804474492,淮海中路,secondary,0,184.493,2, , , , , , ,1024,416,43
