ori,des,path,len
204,482,204_613_615_532_156_586_67_62_536_390_241_258_61_58_297_293_265_65_57_55_344_53_435_404_407_488_410_482,28
579,323,579_600_236_208_243_207_215_218_534_210_242_240_619_391_390_241_258_61_58_297_293_265_66_323,24
408,81,408_379_134_142_325_423_294_296_50_275_274_240_619_393_537_540_68_620_622_304_69_70_72_74_302_169_78_81,28
8,502,8_73_186_215_218_534_210_241_258_61_58_297_292_295_503_502,16
317,587,317_66_325_423_294_296_50_275_274_240_619_393_537_541_573_155_322_326_587,19
204,55,204_613_615_532_156_586_67_62_536_390_241_258_61_58_297_293_265_65_57_55,20
325,329,325_423_294_296_50_275_274_240_619_393_537_541_573_154_329,15
388,405,388_572_586_67_62_536_390_241_258_61_58_297_293_265_65_57_55_344_53_435_405,21
200,107,200_8_73_186_214_262_92_291_145_309_250_252_307_91_181_93_107,17
156,290,156_586_67_62_536_390_241_258_61_59_287_252_307_92_290,15
205,291,205_591_420_590_227_239_228_539_62_536_390_241_258_61_59_287_252_307_91_182_207_214_262_92_291,25
418,177,418_228_540_68_620_622_304_69_70_72_74_302_170_172_177,15
407,588,407_488_409_643_408_379_134_143_380_372_383_269_491_239_226_588,16
407,649,407_488_409_645_646_482_412_603_413_414_397_400_395_402_624_649,16
626,644,626_638_651_282_654_656_267_385_373_381_144_135_377_409_644,15
638,413,638_651_282_654_656_267_385_373_381_144_135_377_410_482_413,15
168,428,168_199_203_202_204_613_615_532_156_586_67_62_536_390_241_258_61_58_297_293_265_65_57_55_344_53_435_405_428,29
147,476,147_497_422_266_283_248_263_12_14_33_370_35_36_16_15_525_523_5_96_117_366_343_468_548_43_476,26
430,95,430_425_426_428_571_570_453_457_455_477_44_212_356_474_99_6_224_359_105_95,20
184,591,184_71_185_217_256_252_307_91_181_93_106_291_145_309_249_286_298_296_50_275_274_240_619_393_537_541_574_386_591,29
453,125,453_457_455_477_44_212_356_474_99_4_118_119_710_124_125,15
455,77,455_477_44_212_356_474_99_6_222_524_32_36_16_15_526_224_359_105_95_245_188_77,22
199,405,199_203_202_204_613_615_532_156_586_67_62_536_390_241_258_61_58_297_293_265_65_57_55_344_53_435_405,27
206,587,206_178_170_172_177_168_199_203_202_204_613_615_532_156_585_573_154_330_514_616_617_713_327_326_587,25
579,573,579_600_236_208_243_207_215_218_534_210_242_240_619_393_537_541_573,17
67,371,67_62_536_390_241_258_61_58_297_292_295_503_500_505_371,15
712,549,712_529_531_532_156_586_68_620_622_304_69_70_72_75_299_8_73_186_214_262_92_289_525_523_5_98_472_557_701_468_549,31
157,549,157_3_80_193_234_89_101_110_365_705_708_123_338_340_343_468_549,17
586,64,586_67_62_536_390_241_258_61_58_297_293_265_65_56_64,15
399,588,399_134_142_323_143_380_371_624_649_651_282_654_656_267_385_372_383_269_491_239_226_591_420_588,24
463,39,463_592_483_153_429_439_451_137_606_350_465_18_26_19_21_39,16
209,476,209_622_304_69_70_73_186_214_262_92_289_525_523_4_116_98_473_355_213_43_476,21
669,476,669_658_608_158_220_76_191_244_93_108_358_223_5_98_473_355_213_43_476,19
427,81,427_431_406_433_48_421_325_423_294_296_50_275_274_240_619_393_537_540_68_620_622_304_69_70_72_74_302_169_78_81,30
152,154,152_643_408_379_133_485_48_421_325_423_294_296_50_275_274_240_619_393_537_541_573_154,22
21,659,21_39_248_264_13_146_290_105_95_245_188_77_221_159_607_659,16
431,518,431_406_433_47_51_137_606_350_465_18_26_20_25_16_15_525_523_6_225_576_520_709_706_518,24
70,476,70_73_186_214_262_92_289_525_523_5_98_473_355_213_43_476,16
